value
1.333
1.332
1.333
1.332
1.332
1.332
1.331
1.332
1.332
1.330
1.331
1.331
1.330
1.331
1.330
1.330
1.330
1.329
1.330
1.330
1.328
1.330
1.328
1.328
1.329
1.328
1.328
1.328
1.327
1.327
