value
1.14
1.14
1.10
1.00
1.09
1.09
1.13
1.17
1.20
1.25
1.30
1.36
1.41
1.47
1.52
1.53
1.52
1.51
1.49
1.45
1.49
1.52
1.55
1.58
1.60
1.63
1.64
1.67
1.70
1.72
