value
1.25
1.29
1.18
1.20
1.23
1.24
1.24
1.26
1.29
1.32
1.37
1.43
1.49
1.55
1.61
1.66
1.71
1.76
1.81
1.86
1.90
1.94
1.97
2.00
2.02
2.04
2.06
2.08
2.10
2.11
