value
1.24
1.25
1.31
1.39
1.40
1.52
1.58
1.62
1.69
1.75
1.80
1.84
1.88
1.92
1.96
1.99
2.03
2.06
1.97
1.95
1.89
1.86
1.87
1.87
1.87
1.92
1.91
1.91
1.93
1.95
