value
0.931
0.932
0.932
0.932
0.931
0.93
0.932
0.931
0.93
0.932
0.929
0.929
0.928
0.929
0.928
0.93
0.931
0.931
0.931
0.929
0.929
0.928
0.929
0.929
0.926
0.925
0.925
0.925
0.926
0.925
