value
0.73
0.73
0.72
0.72
0.72
0.72
1.66
2.26
2.51
2.58
2.59
2.59
2.57
2.55
2.54
2.54
2.54
2.54
2.54
2.53
2.53
2.52
2.51
2.49
2.48
2.46
2.43
2.41
2.37
2.34
