value
1.41
1.41
1.41
1.40
1.40
1.40
1.56
2.63
2.80
2.83
2.80
2.76
2.72
2.67
2.62
2.57
2.51
2.44
2.38
2.32
2.28
2.25
2.21
2.16
2.12
2.09
2.07
2.06
2.05
2.03
