value
1.02
1.01
1.01
1.01
1.00
1.01
0.99
1.00
1.00
0.97
1.00
0.99
0.99
0.99
0.99
0.98
0.98
0.98
0.98
0.98
0.98
0.98
0.98
0.97
0.97
0.97
0.96
0.96
0.96
0.95
