value
0.96
0.96
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.94
0.94
0.94
0.94
0.94
0.94
0.94
0.94
0.94
0.93
0.93
0.94
0.94
1.58
2.37
2.46
