value
1.342
1.342
1.343
1.341
1.342
1.342
1.341
1.342
1.341
1.340
1.341
1.340
1.340
1.341
1.339
1.340
1.339
1.339
1.340
1.338
1.338
1.339
1.337
1.339
1.337
1.337
1.338
1.337
1.337
1.337
