value
0.96332
0.96296
0.96266
0.96279
0.96293
0.96319
0.96315
0.96293
0.96275
0.9625
0.96147
0.96235
0.96251
0.96301
0.96288
0.96285
0.96331
0.96332
0.96283
0.96282
0.96304
0.96295
0.96294
0.96252
0.96249
0.96238
0.96248
0.96275
0.96287
0.96287
