value
0.89
0.89
0.89
0.89
0.90
0.94
0.98
1.03
1.07
1.10
1.13
1.15
1.17
1.18
1.20
1.21
1.22
1.23
1.24
1.24
1.25
1.25
1.25
1.26
1.26
1.26
1.26
1.26
1.26
1.26
