value
0.94
0.94
2.66
2.60
2.51
2.45
2.38
2.31
2.25
2.19
2.14
2.03
1.96
1.94
1.92
1.90
1.88
1.86
1.85
1.84
1.83
1.81
1.80
1.79
1.78
1.77
1.76
1.75
1.74
1.74
