value
0.98
0.98
0.98
0.97
0.98
0.98
0.98
1.01
1.12
1.24
1.35
1.41
1.45
1.49
1.51
1.53
1.55
1.57
1.58
1.59
1.60
1.60
1.61
1.61
1.62
1.62
1.62
1.62
1.62
1.62
