value
0.76
0.76
0.78
0.78
0.77
0.77
0.77
0.84
1.00
1.09
1.15
1.16
1.18
1.20
1.22
1.23
1.24
1.25
1.25
1.26
1.26
1.27
1.27
1.27
1.28
1.28
1.29
1.29
1.30
1.30
