value
0.94
0.94
0.93
0.93
0.97
1.03
1.11
1.19
1.25
1.30
1.34
1.38
1.40
1.42
1.44
1.45
1.47
1.48
1.48
1.49
1.49
1.50
1.50
1.50
1.50
1.50
1.50
1.50
1.50
1.50
